Papilla_of_tongue	Papilla_of_the_Tongue
Thymic_vein	Thymic_Vein
Transfer_ribonucleic_acid	Transfer_RNA
Pancreatic_duct	Pancreatic_Duct
Respiratory_bronchiole	Respiratory_Bronchiole
Columnar_cell	Columnar_Cell
Cis_Golgi_network	Cis-Golgi_Network
Epithelium_of_choroid_plexus_of_lateral_ventricle	Choroid_Plexus_Epithelium_of_the_Lateral_Ventricle
Central_retinal_artery	Retinal_Artery
Femoral_nerve	Femoral_Nerve
Epinephrine	Therapeutic_Epinephrine
Epinephrine	Epinephrine
Glycoprotein	Glycoprotein
Vagina	Vagina
Set_of_pharyngeal_muscles	Pharyngeal_Muscle
Epithelial_cell	Epithelial_Cell
Leptomeninx	Leptomeninges
Ampullary_crest_of_semicircular_duct	Ampullary_Crest
Inguinal_lymph_node	Inguinal_Lymph_Node
Surface_of_bone	Bone_Surface
Hepatopancreatic_ampulla	Ampulla_of_Vater
Guanyl_nucleotide_binding_protein	G_Protein_Gene
Guanyl_nucleotide_binding_protein	G_Protein
Skin_of_abdomen	Abdominal_Skin
Cistern_of_lamina_terminalis	Lamina_Terminalis_Cistern
Pseudostratified_ciliated_columnar_epithelium	Pseudostratified_Columnar_Ciliated_Epithelium
Intercellular_matrix	Integrin
Intercellular_matrix	Extracellular_Matrix
Nucleus_of_brain	Brain_Nucleus
Endocrine_system	Endocrine_System
Leucine	Leucine
Fascicle	Fascicle
First_thoracic_vertebra	T1_Vertebra
Theca_lutein_cell	Theca_Cell
Theca_lutein_cell	Theca_Lutein_Cell
Columnar_cell_of_endocervix	Endocervical_Columnar_Cell
Granulosa_lutein_cell	Granulosa_Lutein_Cell
Spleen	Spleen
Macula_densa	Macula_Densa
Cervical_part_of_esophagus	Cervical_Esophagus
Actin_myofilament	Thin_Filament
Sympathetic_ganglion	Sympathetic_Ganglion
Basilar_artery	Basilar_Artery
Distal_convoluted_tubule	Distal_Convoluted_Tubule
Deep_femoral_artery	Deep_Femoral_Artery
Superior_temporal_sulcus	Superior_Temporal_Sulcus
Temporal_fossa	Temporal_Fossa
Epithelium_of_bronchus	Bronchial_Epithelium
Renal_fascia	Renal_Capsule
Cell_component	Cell_Part
Red_pulp_of_spleen	Splenic_Red_Pulp
Fossa_of_antihelix	Fossa_of_the_Antihelix
Taste_bud_cell	Taste_Bud_Cell
Set_of_pelvic_lymph_nodes	Pelvic_Lymph_Node
Cortex	Cortex
Middle	Middle
Body_of_uterus	Corpus_Uteri
Posterior_cruciate_ligament	Posterior_Cruciate_Ligament
External_naris	Nostril
Renal_vein	Renal_Vein
Intrapulmonary_bronchus	Intrapulmonary_Bronchus
Dopaminergic_neuron	Dopaminergic_Cell
Preganglionic_neuron	Visceral_Efferent_Neuron
Testis	Testis
Thoracic_aorta	Thoracic_Aorta
Intron	Intron
Pyloric_orifice	Pyloric_Orifice
Connective_tissue_cell	Connective_and_Soft_Tissue_Cell
Cochlear_outer_hair_cell	Outer_Hair_Cell_of_the_Organ_of_the_Corti
Cochlear_outer_hair_cell	Type_II_Hair_Cell
Yolk_sac	Yolk_Sac
Irregular_bone	Irregular_Bone
Crypt_of_Lieberkuhn_of_large_intestine	Large_Intestinal_Crypt_of_the_Lieberkuhn
Ciliary_muscle	Ciliary_Muscle
Bronchial_artery	Bronchial_Artery
Chromophobe_cell	Chromophobe_Cell
Anterior_surface_of_prostate	Anterior_Surface_of_the_Prostate
Internal_anal_sphincter	Internal_Anal_Sphincter
Delta_cell	Delta_Cell
Facial_vein	Facial_Vein
Choroidal_fissure	Choroidal_Fissure
Umbilical_cord	Umbilical_Cord
Secretion	Cellular_Secretion
Anterior_spinal_artery	Anterior_Spinal_Artery
Sixth_cervical_vertebra	C6_Vertebra
Inner_phalangeal_cell_of_cochlea	Inner_Supporting_Cell
Dentate_gyrus_of_hippocampal_formation	Dentate_Gyrus
Left_atrium	Left_Atrium
Buccinator	Buccinator
External_pyramidal_layer_of_neocortex	External_Pyramidal_Cell_Layer
Outside	External
Duct	Duct
Hypogastrium	Hypogastric_Region
Xylose	Xylose
Uterus	Uterus
Intestine	Intestine
Endodermal_cell	Endoderm_Cell
Tertiary_follicle_of_ovary	Graafian_Follicle
Macula_of_saccule_of_membranous_labyrinth	Macula_of_Saccule
Right	Right
Peripheral_nerve	Peripheral_Nerve
Orbit	Orbit
Superior_hypophysial_artery	Superior_Hypophyseal_Artery
Long_insular_gyrus	Gyrus_Longus_Insulae
Subiculum	Subiculum
Frontal_bone	Frontal_Bone
Forearm	Forearm
Euchromatin	Euchromatin
Inferior_hypogastric_nerve_plexus	Inferior_Hypogastric_Nerve_Plexus
Perineal_artery	Perineal_Artery
Lacrimal_artery	Lacrimal_Artery
Macrophage	Macrophage
Sartorius	Sartorius_Muscle
Myenteric_nerve_plexus	Myenteric_Nerve_Plexus
Early_endosome	Early_Endosome
Early_endosome	Endocytotic_Vesicle
Corniculate_cartilage	Corniculate_Cartilage
Adrenocorticotropin	Adrenocorticotropic_Hormone
Flatulence	Flatulence
Serosa	Serosa
Left_hypochondrium	Left_Hypochondriac_Region
Cone_cell	Cone
Posterior_auricular_vein	Posterior_Auricular_Vein
Epithelial_cell_of_thymus	Thymic_Epithelial_Cell
Spermatogonium	Spermatogonium
Body_of_penis	Body_of_the_Penis
Greater_vestibular_gland	Bartholin_s_Gland
Somatic_cell	Somatic_Cell
Nuclear_membrane	Nuclear_Membrane
Myeloblast	Myeloblast
Lipoblast	Lipoblast
Cell_body_of_neuron	Perikaryon
Infundibulum_of_hair_follicle	Hair_Follicle_Infundibulum
T_helper_lymphocyte	CD4_Plus_T-Lymphocyte
Endocrine_cell	Endocrine_Cell_and_Neuroendocrine_Cell
B_lymphocyte	B-Lymphocyte
Oxytocin	OXT_Gene
Oxytocin	Oxytocin
Nail_of_toe	Toe_Nail
Psoas_minor	Psoas_Minor
Histone	Histone
Tendon	Tendon
Palatine_bone	Palatine_Bone
Genu_of_corpus_callosum	Genu_of_the_Corpus_Callosum
Genu_of_corpus_callosum	Corpus_Callosum
Hepatic_macrophage	Kupffer_Cell
Brachial_nerve_plexus	Brachial_Plexus
Body_of_vertebra	Vertebral_Body
Head_of_humerus	Head_of_the_Humerus
Palatine_salivary_gland	Palatine_Salivary_Gland
Enamel	Enamel
Trapezium	Trapezial_Bone
Plasmablast	Plasmablast
Vagus_nerve	Vagus_Nerve
Exon	Exon
Endocervix	Endocervix
Goblet_cell	Goblet_Cell
Cervical_nerve	Cervical_Nerve
Monoblast	Monoblast
Abducens_nucleus	Abducens_Nucleus
Chorion	Chorion
Large_intestine	Colon
Large_intestine	Large_Intestine
Transverse_facial_artery	Transverse_Facial_Artery
Pyloric_antrum	Antrum_Pylori
Anterior_perforated_substance	Posterior_Olfactory_Lobule
Superficial_temporal_vein	Superficial_Temporal_Vein
Capsule_of_ovary	Ovarian_Capsule
Cavity_of_body_of_uterus	Endometrial_Cavity
Collicular_artery	Quadrigeminal_Artery
Anal_sinus	Anal_Sinus
Uncus	Uncus
Muscle_of_neck	Neck_Muscle
Nasal_cartilage	Nasal_Cartilage
Medial_tarsal_artery	Medial_Tarsal_Artery
Throat	Throat
Central	Center
Urethral_gland	Urethra_Gland_MMHCC
Urethral_gland	Urethral_Gland
Superior_parathyroid_gland	Superior_Parathyroid_Gland
Lower_limb	Lower_Extremity
Mesangium	Mesangium
Distal	Distal
Thyrotropin	Thyroid_Stimulating_Hormone
Pulmonary_valve	Pulmonary_Valve
Main_submandibular_duct	Submandibular_Duct
Cerumen	Cerumen
Cytosine	Cytosine
Middle_temporal_gyrus	Middle_Temporal_Gyrus
Nasopharynx	Nasopharynx
Nitrergic_neuron	Nitrergic_Neuron
Laminin	Laminin
Lobar_bronchus	Lobar_Bronchus
Costochondral_joint	Costochondral_Joint
Fundus_of_uterus	Fundus_Uteri
Chest_wall	Chest_Wall
Interleukin	Interleukin
Anterior_choroidal_artery	Anterior_Choroidal_Artery
Type_I_alveolar_epithelial_cell	Alveolar_Cell_Type_I
Type_I_alveolar_epithelial_cell	Squamous_Alveolar_Lining_Cell
Hepatic_perisinusoidal_space	Perisinusoidal_Space
Hippocampal_sulcus	Hippocampal_Sulcus
Hippocampal_sulcus	Hippocampal_Fissure
Enteric_ganglion	Enteric_Ganglion
Axillary_artery	Axillary_Artery
Esophagus	Esophagus
Pronator_teres	Pronator_Teres
Descending_aorta	Descending_Aorta
Middle_cardiac_vein	Middle_Cardiac_Vein
Reticulocyte	Polychromatophilic_Erythrocyte
Subthalamus	Ventral_Thalamus
Oncocyte	Oxyphil_Cell
Insulin	Therapeutic_Insulin
Insulin	Regular_Insulin
Insulin	Insulin
Mucosa_of_upper_lip	Mucosa_of_the_Upper_Lip
Occluding_cell_junction	Tight_Junction
Lesser_curvature_of_stomach	Lesser_Curvature
Claustrum	Claustrum
Right_subcostal_vein	Right_Subcostal_Vein
Angular_artery	Angular_Artery
Inferior	Inferior
Inferior	Inferior_Sagittal_Sinus
Ulnar_nerve	Ulnar_Nerve
Lumbar_vertebra	Lumbar_Vertebra
Epiglottic_cartilage	Epiglottic_Cartilage
Extensor_digitorum_longus	Extensor_Digitorum_Longus
Lobe_of_liver	Liver_Lobe
Glial_filament	Glial_Fibrillary_Acidic_Protein
Totipotent_stem_cell	Totipotent_Stem_Cell
Main_bronchus	Main_Bronchus
Neck_of_gallbladder	Gallbladder_Neck
Cytoskeletal_filament	Filament
Epithelium_of_respiratory_bronchiole	Respiratory_Bronchiole_Epithelium
Ganglionic_layer_of_retina	Ganglion_Cell_Layer
Perimysium	Perimysium
Falx_cerebelli	Falx_Cerebelli
Lacrimal_bone	Lacrimal_Bone
Middle_lobe_of_lung	Right_Lung
Middle_lobe_of_lung	Middle_Lobe_of_the_Right_Lung
Neural_cell	Neuron
Neural_cell	Neuron_and_Supporting_Cell_of_the_Nervous_System
Common_hepatic_duct	Common_Hepatic_Duct
Common_hepatic_duct	Hepatic_Duct
Longissimus_cervicis	Longissimus_Cervicis
Supraspinatus	Supraspinatus
Set_of_aggregated_lymphoid_nodules_of_small_intestine	Peyer_s_Patch
Cochlear_nerve	Cochlear_Nerve
Right_renal_vein	Right_Renal_Vein
Second_lumbar_vertebra	L2_Vertebra
Subclavian_vein	Subclavian_Vein
Terminal_sulcus	Sulcus_Terminalis
Merkel_cell	Merkel_Cell
Anterior_olfactory_nucleus	Anterior_Olfactory_Nucleus
Tibia	Tibia
Tarsal_gland	Meibomian_Gland
Thyrotroph	Thyrotrope_Cell
Thyrotroph	Thyrotroph_Cell
Proprioceptor	Proprioceptor
Choroid_plexus_of_lateral_ventricle	Choroid_Plexus_of_the_Lateral_Ventricle
Endocrine_pancreas	Islet_of_Langerhans
Endocrine_pancreas	Endocrine_Pancreas
Floor_of_mouth	Floor_of_the_Mouth
Skin_of_face	Skin_of_the_Face
Iliocostalis_thoracis	Iliocostal_Muscle
Valve_of_inferior_vena_cava	Eustachian_Valve
Supramarginal_gyrus	Supramarginal_Gyrus
Left_adrenal_gland	Left_Adrenal_Gland
Bone_of_scaphoid	Scaphoid_Bone
Gluteus_maximus	Gluteus_Maximus
Xiphoid_process	Xiphoid_Process
Parahippocampal_gyrus	Parahippocampal_Gyrus
Trigeminal_nerve	Trigeminal_Nerve
Pacinian_corpuscle	Vater-Pacini_Corpuscle
Cystic_duct	Cystic_Duct
Infraclavicular_lymph_node	Infraclavicular_Lymph_Node
Orbital_cavity	Orbit
Autonomic_ganglion	Autonomic_Ganglion
Gonadotropin	Gonadotropin
Omohyoid	Omohyoid
Posterior_wall_of_pharynx	Posterior_Wall_of_the_Pharynx
Epiglottis	Epiglottis
Inguinal_part_of_abdomen	Inguinal_Region
Interleukin_15	Interleukin-15
Bone_of_capitate	Capitate_Bone
Interleukin_13	Interleukin-13
Renshaw_cell	Renshaw_Cell
Cerebral_vein	Cerebral_Vein
Interleukin_12	Therapeutic_Interleukin-12
Interleukin_12	Interleukin-12B
Interleukin_12	Interleukin-12A
Interleukin_12	Interleukin-12
Interleukin_10	Interleukin-10
Vascular_layer_of_eyeball	Uvea
Epithelium_of_paranasal_sinus	Paranasal_Sinus_Epithelium
Middle_colic_artery	Middle_Colic_Artery
Olfactory_epithelium	Olfactory_Epithelium
Skin_of_ankle	Ankle_Skin
Triceps_surae	Triceps_Surae
Interleukin_18	Interleukin-18
Interleukin_17	Therapeutic_Interleukin-17
Interleukin_17	Interleukin-17
Intestinal_mucosa	Intestinal_Mucosa
Transverse_colon	Transverse_Colon
Arytenoid_cartilage	Arytenoid_Cartilage
Tympanic_membrane	Tympanic_Membrane
Set_of_thoracic_vertebrae	Thoracic_Vertebra
Stapedius	Stapedius_Muscle
Cochlear_labyrinth	Cochlear_Labyrinth
Trans_Golgi_network	Trans-Golgi_Network
Pericardial_cavity	Pericardial_Cavity
Hair	Hair
Posterior_choroidal_artery	Posterior_Choroidal_Artery
Basal_cell_layer_of_epidermis	Rete_Malpighii
Male_urethra	Male_Urethra
Scaffold_protein	Scaffolding_Protein
Paneth_cell	Paneth_Cell
Intercostal_nerve	Intercostal_Nerve
Renal_pelvis	Renal_Pelvis
Lateral	Lateral_Ventricle
Lateral	Lateral
Aqueous_humor_of_eyeball	Aqueous_Humor
Cave_of_septum_pellucidum	Fifth_Ventricle
Cerebellar_vein	Cerebellar_Vein
Vertebral_vein	Vertebral_Vein
Brachiocephalic_artery	Innominate_Artery
Nail_of_finger	Fingernail
Anterior_chamber_of_eyeball	Anterior_Chamber_of_the_Eye
Peroxisome	Peroxisome
Microvillus	Microvillus
Lateral_vestibular_nucleus	Lateral_Vestibular_Nucleus
Longissimus_thoracis	Longissimus_Thoracis
Sciatic_nerve	Sciatic_Nerve
Ovarian_artery	Ovarian_Artery
Precentral_gyrus	Precentral_Gyrus
Multilaminar_epithelium	Stratified_Epithelium
Medial_vestibular_nucleus	Medial_Vestibular_Nucleus
Caudate_nucleus	Caudate_Nucleus
Mast_cell	Mast_Cell
APUD_cell	APUD_Cell
Lateral_wall_of_oropharynx	Lateral_Wall_of_the_Oropharynx
External_anal_sphincter	External_Anal_Sphincter
Medial_circumflex_femoral_artery	Medial_Circumflex_Artery
Head_of_femur	Head_of_the_Femur
Type_B_cell_of_pancreatic_islet	Beta_Cell
Palmitic_acid	Palmitic_Acid
Adhesive_belt	Zonula_Adherens
Hip_joint	Hip_Joint
Trunk	Trunk
Triangular_part_of_inferior_frontal_gyrus	Triangular_Part_of_the_Inferior_Frontal_Gyrus
Natural_killer_cell	Natural_Killer_Cell_Retired
Natural_killer_cell	Natural_Killer_Cell
Chemokine	Alpha_Chemokine
Chemokine	Beta_Chemokine
Chemokine	Chemokine
Parietal_lobe	Parietal_Lobe_of_the_Brain
Olfactory_epithelial_cell	Olfactory_Epithelial_Cell
Phalanx_of_finger	Hand_Phalanx
Phalanx_of_finger	Phalanx_of_the_Hand
Myocardium	Heart_Muscle
Myocardium	Myocardium
Right_lobe_of_liver	Right_Lobe_of_the_Liver
Zygomaticus_minor	Zygomaticus_Minor
Cardiac_atrium	Cardiac_Atrium
Articular_disc	Meniscus
Capitate	Capitate_Bone
Fourth_ventricle	Fourth_Ventricle_of_the_Brain
Waist	Waist
Sternohyoid	Sternohyoid
Immunoglobulin	Antibody
Immunoglobulin	Immunoglobulin
Medial_meniscus	Meniscus_Medialis
Masseteric_artery	Masseteric_Artery
Lung	Lung
Lung	Lung_Lower_Lobe
Lung	Lung_Upper_Lobe
Lung	Lung_Surfactant
Internal	Internal
Luteotropin_releasing_factor	Gonadotrophin_Releasing_Hormone
Lacrimal_gland	Lacrimal_Gland
Deep	Deep
Vestibular_ganglion	Vestibular_Ganglion
Hyo_epiglottic_ligament	Hyoepiglottic_Ligament
Perineal_muscle	Perineal_Muscle
Cerebrospinal_fluid	Cerebrospinal_Fluid
Lingual_tonsil	Lingual_Tonsil
Pancreatic_centro_acinar_cell	Pancreatic_Centroacinar_Cell
Apocrine_sweat_gland	Apocrine_Sweat_Gland
Inferior_epigastric_vein	Deep_Epigastric_Vein
Root_of_lumbar_spinal_nerve	Lumbar_Spinal_Nerve_Root
Oxyphil_cell_of_parathyroid_gland	Parathyroid_Gland_Oxyphil_Cell
Lunate	Lunate_Bone
Arginine	Arginine_Base
Arginine	Arginine
Superior_mediastinum	Superior_Mediastinum
Cysteine	Cysteine
Body_of_pancreas	Body_of_the_Pancreas
Umbilical_vein	Umbilical_Vein
Infraspinatus_muscle	Infraspinatus
Interlobular_bile_duct	Interlobular_Bile_Duct
Median_artery	Median_Artery
Obturator_vein	Obturator_Vein
Lymphokine	Lymphokine
Myeloid_stem_cell	Myeloid_Cell
Gastric_gland	Fundic_Gland
Semen	Semen
Oogonium	Primary_Oocyte
Set_of_gastric_folds	Gastric_Rugae
Nasal_concha	Nasal_Turbinate
Chemical_synapse	Chemical_Synapse
Cuboidal_cell	Cuboidal_Cell
Somatotropin	Therapeutic_Growth_Hormone
Somatotropin	Growth_Hormone
Round_ligament_of_uterus	Round_Ligament_of_the_Uterus
Back_of_abdomen	Lumbar_Region
Gingiva	Gum
Gingiva	Gingiva
Portion_of_muscle_tissue	Muscle_Tissue
Small_cardiac_vein	Small_Cardiac_Vein
Thyroglossal_duct	Thyroglossal_Duct
Mitotic_chromosome	Mitotic_Chromosome
Cuneate_nucleus	Cuneate_Nucleus
Right_common_carotid_artery	Right_Common_Carotid_Artery
Epithelial_cell_of_renal_tubule	Renal_Cell
Dorsum_of_tongue	Dorsum_of_the_Tongue
Olecranon	Olecranon
Axosomatic_synapse	Axosomatic_Synapse
Otolith	Otolith
Coronary_sinus	Coronary_Sinus
Endomysium	Endomysium
Dendrite	Dendrite
Lymphatic_vessel	Lymphatic_Vessel
Superficial_lymphatic_vessel	Superficial_Lymphatic_Vessel
Type_IV_taste_bud_cell	Taste_Bud_Basal_Cell
Zona_pellucida	Zona_Pellucida
Myelocyte	Myelocyte
Right_main_bronchus	Right_Main_Bronchus
Lesser_omentum	Lesser_Omentum
Inferior_epigastric_artery	Inferior_Epigastric_Artery
Oxyntic_cell	Parietal_Cell
Cisterna_chyli	Chyle_Cistern
Nuclear_pore	Nuclear_Pore
Temporal_lobe	Temporal_Lobe
Lysine	Lysine
Peripheral	Peripheral
Glycosaminoglycan	Glycosaminoglycan
Photoreceptor	Photoreceptor_Cell
Intermediate_filament_protein	Intermediate_Filament_Protein
Nerve	Nerve
Portal_triad	Portal_Triad
Artery	Artery
Cutaneous_muscle	Cutaneous_Muscle
Melanin	Melanin
Glial_fibrillar_acidic_protein	GFAP_Gene
Glial_fibrillar_acidic_protein	Glial_Fibrillary_Acidic_Protein
Pharynx	Pharynx
Eye	Eye
Branch_of_left_coronary_artery	Left_Coronary_Artery_Branch
Lateral_meniscus	Meniscus_Lateralis
Horizontal	Horizontal
Femoral_vein	Femoral_Vein
Anterior_cerebral_artery	Anterior_Cerebral_Artery
Urethra	Urethra
Principal_sensory_nucleus_of_trigeminal_nerve	Principal_Sensory_Nucleus_of_the_Trigeminal_Nerve
Smooth_endoplasmic_reticulum	Smooth_Endoplasmic_Reticulum
Lymphoid_tissue	Lymphoid_Tissue
Lymphoid_tissue	Mucosa-Associated_Lymphoid_Tissue
Cytokine	Cytokine
Branch_of_posterior_tibial_artery	Posterior_Tibial_Artery_Branch
Glycine	Glycine
Distal_part_of_ileum	Terminal_Ileum
Stromal_cell_of_endometrium	Endometrial_Stromal_Cell
Sacrum	Sacral_Bone
Sacrum	Sacrum
Desmosome	Desmosome
